GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
ENSG00000284471	0.34204165391159624	-0.05540133210348151	0.3023130584887528	-0.18325815093939338	0.8545954689827506	1	FALSE
ENSG00000284484	0.0798949580319981	0.04740975728016395	1.0766589018799146	0.04403414785999866	0.964877184200493	1	FALSE
ENSG00000284491	0.24325389334168812	-0.09583350169061679	0.6995459600212918	-0.13699386054305845	0.8910356479357764	1	FALSE
ENSG00000284500	0.08999052603001548	-0.12760181764091122	0.9202377963744495	-0.13866178735935053	0.8897174155902754	1	FALSE
ENSG00000284512	0.3511412830410714	6.256526739527512e-4	0.3067108801134959	0.0020398776649893655	0.9983724142339365	1	FALSE
ENSG00000284513	0.050479615265938534	-0.005152888371679578	1.4946458994374099	-0.0034475646530185804	0.9972492468400933	1	FALSE
ENSG00000284523	1.533886018407146	0.07680486746457882	0.1669072081927916	0.4601650719354365	0.6453977395697015	1	FALSE
ENSG00000284526	2.3657676088788584	0.01427377560665399	0.13404680933870616	0.10648351629606764	0.9151987331379792	1	FALSE
ENSG00000284534	1.0492189681059743	0.24810839442406304	0.20385187041660507	1.2171013879686874	0.2235656426917142	1	FALSE
ENSG00000284540	2.6461347478945085	-0.01781913991184483	0.12668908732295064	-0.14065252413115115	0.8881444523853049	1	FALSE
ENSG00000284543	3.8698183096045664	0.11447389713855839	0.10501246383909123	1.0900981936198046	0.27566989193875113	1	FALSE
ENSG00000284554	0.18445726759994827	-0.4039818726095461	0.7935401024763397	-0.5090881624619485	0.6106904288350385	1	FALSE
ENSG00000284600	0.12594768402450687	0.010733089871069025	0.7397998674644282	0.014508099207770006	0.9884246177108946	1	FALSE
ENSG00000284601	0.7057134217654047	0.26644736207512987	0.2488102243712885	1.0708859040998342	0.28422073466275105	1	FALSE
ENSG00000284602	2.450189437669515	-0.05378616151526804	0.13160819133499707	-0.408683995803575	0.6827715801656091	1	FALSE
ENSG00000284604	0.2208623068890939	0.1386714437661431	0.3867946556736988	0.35851437379508877	0.719958413086351	1	FALSE
ENSG00000284606	2.9088710205449573	0.030718162355374164	0.12079578329575298	0.2542983001332479	0.7992651129463285	1	FALSE
ENSG00000284607	0.43681177228867357	-0.15850252279223542	0.2962219164983698	-0.5350803366134717	0.5925943063616728	1	FALSE
ENSG00000284609	0.08993951664527781	0.2189560823911432	1.0777448343290463	0.20316133783879842	0.8390089305638969	1	FALSE
ENSG00000284612	1.380176231265927	-0.031085615720293384	0.17580464045882202	-0.17681908531631985	0.8596504973480125	1	FALSE
ENSG00000284615	0.07573169762449167	-0.15388280704318275	1.0760098352327605	-0.14301245397993514	0.8862803454450505	1	FALSE
ENSG00000284616	0.060468295961736966	-0.006884991770897008	1.2932130432066096	-0.005323942413869569	0.9957521286125807	1	FALSE
ENSG00000284618	0.28081725318372996	-0.10276436341480936	0.31275038318779663	-0.3285826938638877	0.742471130673409	1	FALSE
ENSG00000284624	4.138200081065062	-0.0030831396866142446	0.10127570326747748	-0.03044303408559325	0.9757137245093239	1	FALSE
ENSG00000284626	0.1604107671115812	0.14906778839765847	0.693839916985189	0.21484464175162257	0.8298884464065706	1	FALSE
ENSG00000284631	0.30630766945842425	-0.2514957872591845	0.30735971169475906	-0.8182457807253105	0.4132168588045812	1	FALSE
